fantrax_label,definition,alignment_status,formula,required_schema_columns,unavailable_reason,notes
"Big Points 5","Game-winning Goals + Overtime Goals + Overtime Assists + Shootout Goals + Shootout Game-winning Goals + Empty Net Goals","formula","gwg + otg + ota + shog + shogwg + eng","gwg,otg,ota,shog,shogwg,eng","",""
"Big Points 6","First Goal + Overtime Goals + Shootout Goals + (0.5 x Shootout Saves) + (3 x Hat Tricks) + (3 x Shutouts)","planned_derivation","fg + otg + shog + (0.5 * shosv) + (3 * htk) + (3 * so)","fg,otg,shog,shosv,htk,so","","First goals and hat tricks are derivable; shutouts apply to goalies."
"Big Points 7","Game-winning Goals + Overtime Goals + Overtime Assists + Shootout Goals + Empty Net Goals","formula","gwg + otg + ota + shog + eng","gwg,otg,ota,shog,eng","",""
"Blocks","A player blocks a shot by an opposing shooter.","direct","b","b","",""
"Blocks Missed","A missed attempt at a blocking a shot.","unsupported","","","No reliable source column or derivation identified.","Warn when a connected league uses this category."
"Blocks Per Game","","direct","b_pg","b_pg","",""
"Breakaway Points","Shootout Goals + Penalty Shot Goals + (Shootout Attempts x .25)","planned_derivation","shog + psg + (0.25 * shoa)","shog,psg,shoa","","Shootout attempts need a durable derived alias if supported."
"Corsi","Shots Attempted For (Shots For + Missed Shots For + Shots Blocked) - Shots Attempted Against (Shots Against + Missed Shots Against + Shots Blocked Against) [by team when player is on ice]","formula","satf - sata","satf,sata","","Individual on-ice strength summaries store satf/sata."
"Defensive Awareness","Blocked Shots + Hits + +/-","formula","b + h + plus_minus","b,h,plus_minus","",""
"Empty Net Goals","","direct","eng","eng","",""
"Even Strength Assists","","direct","eva","eva","",""
"Even Strength Assists + (2 x Short-Handed Assists)","","formula","eva + (2 * pka)","eva,pka","",""
"Even Strength Assists + Short-Handed Assists","","formula","eva + pka","eva,pka","",""
"Even Strength Goals","","direct","evg","evg","",""
"Even Strength Goals + (2 x Short-Handed Goals)","","formula","evg + (2 * pkg)","evg,pkg","",""
"Even Strength Goals + Short-Handed Goals","","formula","evg + pkg","evg,pkg","",""
"Even Strength Goals x 2 + Even Strength Assists","","formula","(2 * evg) + eva","evg,eva","",""
"Even Strength Points","","direct","evpts","evpts","",""
"Even Strength Points + Short-Handed Points","","formula","evpts + pkp","evpts,pkp","",""
"Faceoff Percentage","","direct","fow_percentage","fow_percentage","",""
"Faceoffs Lost","","direct","fol","fol","",""
"Faceoffs Taken Per TOI","All faceoffs taken (won and lost) per Time on Ice","formula","fot / toi","fot,toi","",""
"Faceoffs Won","","direct","fow","fow","",""
"Faceoffs Won Per Game","","formula","fow / gp","fow,gp","",""
"Fenwick","(Shots For + Missed Shots For) - (Shots Against + Missed Shots Against) [by team when player is on ice]","formula","ff - fa","ff,fa","","Individual on-ice strength summaries store ff/fa."
"Fights","","direct","f","f","","Derived from fighting major penalties in play-by-play summaries."
"First Goal","Awarded to one player every game, who scored the first goal of the game, in regulation or overtime (not shootout)","planned_derivation","fg","fg","","Derivable by first non-shootout goal in game play-by-play."
"Game Misconduct Penalties","","planned_derivation","game_misconduct_penalties","game_misconduct_penalties","","Derivable as count of game misconduct penalty events."
"Game-winning Goals","","direct","gwg","gwg","",""
"Game-winning Goals + Shootout Game-winning Goals","","formula","gwg + shogwg","gwg,shogwg","",""
"Game-winning Goals + Shootout Goals","","formula","gwg + shog","gwg,shog","",""
"Game-winning Goals Per Game","","formula","gwg / gp","gwg,gp","",""
"Games Played","","direct","gp","gp","",""
"Games Started","Number of times a Goalie has started the game.","direct","starts","starts","","Goalie category."
"Giveaways","","direct","gv","gv","",""
"Giveaways Per Game","","formula","gv / gp","gv,gp","",""
"Adjusted Saves","Saves - (5 x Goals Against)","formula","sv - (5 * ga)","sv,ga","","Goalie category."
"Goalie Points","(2 x Wins) + Overtime Losses + Shootout Losses","formula","(2 * wins) + ot_losses + shootout_losses","wins,ot_losses,shootout_losses","","Goalie category."
"Goalie Points 2","(3 x Wins) + (2 x Shutouts) + Overtime Losses + Shootout Losses","formula","(3 * wins) + (2 * so) + ot_losses + shootout_losses","wins,so,ot_losses,shootout_losses","","Goalie category."
"Goalie Points 3","(Wins x 2) + Overtime Losses + Shootout Losses + Shutouts","formula","(2 * wins) + ot_losses + shootout_losses + so","wins,ot_losses,shootout_losses,so","","Goalie category."
"Goalie Points 4","(2 x Wins) + Overtime Losses + Shootout Losses + (2 x Shutouts)","formula","(2 * wins) + ot_losses + shootout_losses + (2 * so)","wins,ot_losses,shootout_losses,so","","Goalie category."
"Goalie Points 5","(2 x Wins) + Overtime Losses + Overtime Wins + Shutouts - Losses","formula","(2 * wins) + ot_losses + overtime_wins + so - losses","wins,ot_losses,overtime_wins,so,losses","","Goalie category."
"Goalie Points 6","(2 x Wins) + Overtime Losses + Shootout Losses","formula","(2 * wins) + ot_losses + shootout_losses","wins,ot_losses,shootout_losses","","Goalie category."
"Goalie Points 8","Wins + OT Wins + Shootout Wins + (OT Losses x 0.5) + (Shootout Losses x 0.5)","formula","wins + overtime_wins + shootout_wins + (0.5 * ot_losses) + (0.5 * shootout_losses)","wins,overtime_wins,shootout_wins,ot_losses,shootout_losses","","Goalie category."
"Goalie Points 9","(2 x Wins) - Losses + Shutouts + Overtime Losses","formula","(2 * wins) - losses + so + ot_losses","wins,losses,so,ot_losses","","Goalie category."
"Goalie Points 10","Wins + (2 x Shutouts)","formula","wins + (2 * so)","wins,so","","Goalie category."
"Goalie Points 11","Wins + Shutouts","formula","wins + so","wins,so","","Goalie category."
"Goalie Points 12","(2 x Wins) + (3 x Shutouts)","formula","(2 * wins) + (3 * so)","wins,so","","Goalie category."
"Goalie Points 13","(3 x Wins) + Overtime Wins - Shootout Wins + Shutouts + Overtime Losses + Shootout Losses","formula","(3 * wins) + overtime_wins - shootout_wins + so + ot_losses + shootout_losses","wins,overtime_wins,shootout_wins,so,ot_losses,shootout_losses","","Goalie category."
"Goalie Points 14","(2 x Games Started) + Shootout Saves - Shootout Goals Against + (5 x Goals) + (2 x Assists) + MMP + (0.2 x Save)","unsupported","","","MMP is not identified and shootout goals against is not stored as a goalie stat.","Warn when a connected league uses this category."
"Goalie Points 15","(2 x Games Started) + (0.2 * saves) + Shootout Saves - Shootout Goals Against","planned_derivation","(2 * starts) + (0.2 * sv) + shosv - shootout_goals_against","starts,sv,shosv,shootout_goals_against","","Requires per-goalie shootout goals against derivation."
"Goalie Points 16","(12 x Games Started) + saves","formula","(12 * starts) + sv","starts,sv","","Goalie category."
"Goalie Points 17","Goals Against Average + Save Percentage","formula","gaa + sv_pct","gaa,sv_pct","","Goalie category."
"Goalie Strength of Victory","(7.25 x Wins x Time On Ice / 60) - (Overtime Wins x .6) - (Shooout Wins x .6) - Goals Against Even Strength - (1.13 x Goals Against Short-Handed) - (1.33 x Goals Against Power Play). If less than 0, becomes 0.","formula","MAX(0, (7.25 * wins * (toi / 3600)) - (0.6 * overtime_wins) - (0.6 * shootout_wins) - evga - (1.13 * pkga) - (1.33 * ppga))","wins,toi,overtime_wins,shootout_wins,evga,pkga,ppga","","Goalie category; toi is stored in seconds."
"Goals","","direct","g","g","",""
"Goals Against","","direct","ga","ga","","Goalie category."
"Goals Against - Even Strength","Goals against the goalie while both teams have the same number of players on th eince (i.e. not a power play)","direct","evga","evga","","Goalie category."
"Goals Against - Power Play","Goals against the goalie while the opponent is on the power play (i.e. goalie's team is short-handed).","direct","ppga","ppga","","Goalie category."
"Goals Against - Short-Handed","Goals against the goalie while the opponent is short-handed (i.e. goalie's team is on the power play).","direct","pkga","pkga","","Goalie category."
"Goals Against Average","Goals Against x 60 / Minutes Played","direct","gaa","gaa","","Goalie category."
"Goals Per Game","","direct","g_pg","g_pg","",""
"Goon2","Instigator Penalties + Major Penalties + Misconduct Penalties + Fights","planned_derivation","instigator_penalties + major_penalties + misconduct_penalties + f","instigator_penalties,major_penalties,misconduct_penalties,f","","Penalty subtype counts are derivable from play-by-play."
"Goon","Instigator Penalties + Major Penalties + Misconduct Penalties","planned_derivation","instigator_penalties + major_penalties + misconduct_penalties","instigator_penalties,major_penalties,misconduct_penalties","","Penalty subtype counts are derivable from play-by-play."
"Gordie Howe Hat Tricks","At least 1 goal, 1 assist and 1 fight in a given game.","planned_derivation","SUM(CASE WHEN g >= 1 AND a >= 1 AND f >= 1 THEN 1 ELSE 0 END)","g,a,f","","Derive from game summaries."
"Hat Tricks","Three or more goals in a game","planned_derivation","SUM(CASE WHEN g >= 3 THEN 1 ELSE 0 END)","g","","Derive from game summaries."
"Hat Tricks + Gordie Howe Hat Tricks","","planned_derivation","htk + ghht","htk,ghht","","Both components are derivable from game summaries."
"Hat Tricks + Short-Handed Points","","planned_derivation","htk + pkp","htk,pkp","","Hat tricks are derivable from game summaries."
"Hits","","direct","h","h","",""
"Hits + Blocks","","formula","h + b","h,b","",""
"Hits + Blocks + Shots on Goal","","formula","h + b + sog","h,b,sog","",""
"Hits Per Game","","direct","h_pg","h_pg","",""
"Important Events","Game-winning Goals + Short-Handed Points + Shootout Goals","formula","gwg + pkp + shog","gwg,pkp,shog","",""
"Instigator Penalties","","planned_derivation","instigator_penalties","instigator_penalties","","Derivable as count of instigator penalty events."
"Losses","Includes only regulation losses in the NHL regular season, but also overtime losses in the NHL playoffs.","direct","losses","losses","","Goalie category only; skater wins/losses are ignored."
"Losses (Goalies only)","Includes only regulation losses in the NHL regular season, but also overtime losses in the NHL playoffs.","direct","losses","losses","","Goalie category."
"Losses + Overtime Losses + Shootout Losses","","formula","losses + ot_losses + shootout_losses","losses,ot_losses,shootout_losses","","Goalie category."
"Major Penalties","5-minute Major penalties","planned_derivation","major_penalties","major_penalties","","Derivable as count of 5-minute major penalty events."
"Match Penalties","Game-ejection Match penalties","planned_derivation","match_penalties","match_penalties","","Derivable as count of match penalty events."
"Minor + Major Penalty Minutes","(Minor Penalties x 2) + (Major Penalties x 5)","direct","pim","pim","","Use stored penalty minutes."
"Minor Penalties","2-minute Minor penalties","planned_derivation","minor_penalties","minor_penalties","","Derivable as count of 2-minute minor penalty events."
"Misconduct Penalties","10-minute Misconduct penalties","planned_derivation","misconduct_penalties","misconduct_penalties","","Derivable as count of 10-minute misconduct penalty events."
"Net Faceoffs Won","Faceoffs Won - Faceoffs Lost","formula","fow - fol","fow,fol","",""
"Old School Grit","(Fights x 5) + Hits + Blocked Shots","formula","(5 * f) + h + b","f,h,b","",""
"Old School Grit 2","(Fights x 5) + Hits","formula","(5 * f) + h","f,h","",""
"Old School Grit 3","(Fights x 5) + Hits + Blocked Shots - Penalty Mins","formula","(5 * f) + h + b - pim","f,h,b,pim","",""
"Overtime Assists","","direct","ota","ota","",""
"Overtime Goals","","direct","otg","otg","",""
"Overtime Losses","A loss in overtime. Does not include Shootout Losses.","direct","ot_losses","ot_losses","","Goalie category."
"Overtime Losses + Shootout Losses","","formula","ot_losses + shootout_losses","ot_losses,shootout_losses","","Goalie category."
"Overtime Points","Overtime Goals + Overtime Assists","formula","otg + ota","otg,ota","",""
"Overtime Points 2","Short-Handed Points + Overtime Points + Penalty Shot Goals + Shootout Game-Winning Goals","formula","pkp + otg + ota + psg + shogwg","pkp,otg,ota,psg,shogwg","",""
"Overtime Wins","A win in overtime. Does not include Shootout Wins.","direct","overtime_wins","overtime_wins","","Goalie category."
"Overtime Wins + Shootout Wins","","formula","overtime_wins + shootout_wins","overtime_wins,shootout_wins","","Goalie category."
"Penalties - Old Time Hockey","Minor Penalties + (2 x Instigator Penalties) + (2 x Major Penalties) + (2 x Game Misconducts) + (4 x Misconducts) + (5 x Fights)","planned_derivation","minor_penalties + (2 * instigator_penalties) + (2 * major_penalties) + (2 * game_misconduct_penalties) + (4 * misconduct_penalties) + (5 * f)","minor_penalties,instigator_penalties,major_penalties,game_misconduct_penalties,misconduct_penalties,f","","Penalty subtype counts are derivable from play-by-play."
"Penalties Drawn","","planned_derivation","penalties_drawn","penalties_drawn","","Derivable from drawn_by_player_id on penalty events."
"Penalty Minutes","By default, this is a positive category (i.e. the more Penalty Minutes the better).","direct","pim","pim","",""
"Penalty Minutes + Hits","","formula","pim + h","pim,h","",""
"Penalty Minutes Per Game","By default, this is a positive category (i.e. the more Penalty Minutes per game the better).","formula","pim / gp","pim,gp","",""
"Penalty Points 1","(Minor Penalties x 2) + (Major Penalties x 5) + (2 * Penalties Drawn)","planned_derivation","(2 * minor_penalties) + (5 * major_penalties) + (2 * penalties_drawn)","minor_penalties,major_penalties,penalties_drawn","","Penalty subtype and drawn counts are derivable from play-by-play."
"Penalty Points 2","Penalties Drawn - Minor Penalties","planned_derivation","penalties_drawn - minor_penalties","penalties_drawn,minor_penalties","","Penalty subtype and drawn counts are derivable from play-by-play."
"Penalty Points 3","Penalties Drawn - Penalties Taken","planned_derivation","penalties_drawn - penalties_taken","penalties_drawn,penalties_taken","","Penalty drawn/taken counts are derivable from play-by-play."
"Penalty Points 4","Penalties Taken + (2 x Penalties Drawn)","planned_derivation","penalties_taken + (2 * penalties_drawn)","penalties_taken,penalties_drawn","","Penalty drawn/taken counts are derivable from play-by-play."
"Penalty Shot Attempts","","direct","ps","ps","","Penalty-shot attempts are stored as ps."
"Penalty Shot Goals","","direct","psg","psg","",""
"Penalty Shot Saves","","unsupported","","","No separate penalty-shot saves column identified.","Warn when a connected league uses this category."
"Physicality","Hits + Blocks - Penalty Minutes","formula","h + b - pim","h,b,pim","",""
"Physicality 2","Hits + Blocks + Penalty Minutes","formula","h + b + pim","h,b,pim","",""
"Plus/Minus","","direct","plus_minus","plus_minus","",""
"Points","Goals + Assists","direct","pts","pts","",""
"Points (Primary)","Goals + Assists (Primary)","formula","g + a1","g,a1","",""
"Points 2","(2 x Goals) + Assists","formula","(2 * g) + a","g,a","",""
"Points 3","(1.5 x Goals) + Assists","formula","(1.5 * g) + a","g,a","",""
"Points 4","(0.5 x Empty Net Goals) + Overtime Goals + (5 x Gordie Howe Hat Tricks) + Short-Handed Goals + Goals + Assists + Hat Tricks + (0.5 x Takeaways)","planned_derivation","(0.5 * eng) + otg + (5 * ghht) + pkg + g + a + htk + (0.5 * tk)","eng,otg,ghht,pkg,g,a,htk,tk","","Gordie Howe hat tricks and hat tricks are derivable from game summaries."
"Points 5","Points + Plus/Minus","formula","pts + plus_minus","pts,plus_minus","",""
"Points 6","Hits + Blocked Shots + Takeaways - Giveaways","formula","h + b + tk - gv","h,b,tk,gv","",""
"Points 7","(3 x Goals) + (2 x Assists)","formula","(3 * g) + (2 * a)","g,a","",""
"Points Per 60 Minutes","Points per minute x 60","direct","pts_p60","pts_p60","",""
"Points Per Game","","direct","pts_pg","pts_pg","",""
"Power Play Assists","","direct","ppa","ppa","",""
"Power Play Assists Per Game","","formula","ppa / gp","ppa,gp","",""
"Power Play Goals","","direct","ppg","ppg","",""
"Power Play Goals Against While On Ice","Power Play goals scored by the opposing team while the goalie was on the ice.","planned_derivation","SUM(ga WHERE strength = 'PP')","ga,strength","","Individual on-ice strength summaries store ga by strength."
"Power Play Goals For While On Ice","Power Play Goals scored by the team while the goalie was on the ice.","planned_derivation","SUM(gf WHERE strength = 'PP')","gf,strength","","Individual on-ice strength summaries store gf by strength."
"Power Play Goals Per Game","The total power play goals divided by the number of games played","formula","ppg / gp","ppg,gp","",""
"Power Play Points","","direct","ppp","ppp","",""
"Power Play Points Per Game","The total power play points divided by the number of games played","formula","ppp / gp","ppp,gp","",""
"Rare Events","Hat Tricks + Shutouts + Gordie Howe Hat Tricks","planned_derivation","htk + so + ghht","htk,so,ghht","","Hat tricks and Gordie Howe hat tricks are derivable; shutouts apply to goalies."
"Rare Events 2","Hat Tricks + Shutouts + Gordie Howe Hat Tricks + Penalty Shot Goals","planned_derivation","htk + so + ghht + psg","htk,so,ghht,psg","","Hat tricks and Gordie Howe hat tricks are derivable; shutouts apply to goalies."
"Rare Events 3","Hat Tricks + Shutouts + Gordie Howe Hat Tricks + Penalty Shot Goals + Goalie Points","planned_derivation","htk + so + ghht + psg + goalie_points","htk,so,ghht,psg,goalie_points","","Goalie points means goalie goals plus assists."
"Real Points G","(5 * saves) + (50 * assists) + (25 * goalie Wins) + (50 * shutouts) + (-20 * ga) + (-2 * penalty Mins)","formula","(5 * sv) + (50 * a) + (25 * wins) + (50 * so) - (20 * ga) - (2 * pim)","sv,a,wins,so,ga,pim","","Goalie category."
"Real Points Sk","(75 * goals) + (50 * assists) + (30 * short Handed Goals) + (20 * pp Points) + (5 * shots On Goal) + (5 * blocks) + (5 * hits) + (-2 * penalty Mins)","formula","(75 * g) + (50 * a) + (30 * pkg) + (20 * ppp) + (5 * sog) + (5 * b) + (5 * h) - (2 * pim)","g,a,pkg,ppp,sog,b,h,pim","",""
"Selke","Penalties Drawn + Takeaways","planned_derivation","penalties_drawn + tk","penalties_drawn,tk","","Penalties drawn are derivable from play-by-play."
"Save Percentage","Saves / Shots on Goal Against","direct","sv_pct","sv_pct","","Goalie category."
"Save Percentage - Even Strength","Saves (Even Strength) / Shots on Goal Against (Even Strength)","direct","ev_sv_pct","ev_sv_pct","","Goalie category."
"Save Percentage Bonus","Save % Points: .000-.899 = 0pts, .900-.919 = 2pts, .920-.939 = 4pts, .940-.959 = 6pts, .960-.979 = 8pts, .980-.999 = 10pts, 1.000 = 12pts; Save % Bonus = (Save % Points) x (Min Played/60) [Must be > 0]","formula","CASE WHEN toi <= 0 OR sv_pct < 0.900 THEN 0 WHEN sv_pct < 0.920 THEN 2 * (toi / 3600) WHEN sv_pct < 0.940 THEN 4 * (toi / 3600) WHEN sv_pct < 0.960 THEN 6 * (toi / 3600) WHEN sv_pct < 0.980 THEN 8 * (toi / 3600) WHEN sv_pct < 1.000 THEN 10 * (toi / 3600) ELSE 12 * (toi / 3600) END","sv_pct,toi","","Goalie category; toi is stored in seconds."
"Save Percentage Bonus 2","Save % Points: .000-.899 = 0pts, .900-.925 = 2pts, .925-.950 = 4pts, .950-.975 = 6pts, .975-1.000 = 8pts, 1.000 = 10pts; Save % Bonus = (Save % Points) x (Min Played/60) [Must be > 0]","formula","CASE WHEN toi <= 0 OR sv_pct < 0.900 THEN 0 WHEN sv_pct < 0.925 THEN 2 * (toi / 3600) WHEN sv_pct < 0.950 THEN 4 * (toi / 3600) WHEN sv_pct < 0.975 THEN 6 * (toi / 3600) WHEN sv_pct < 1.000 THEN 8 * (toi / 3600) ELSE 10 * (toi / 3600) END","sv_pct,toi","","Goalie category; toi is stored in seconds."
"Save Percentage Bonus 3","Save % Points: .000-.899 = 0pts, .900-.925 = 2pts, .925-.950 = 4pts, .950-.975 = 6pts, .975-1.000 = 8pts, 1.000 = 10pts; Save % Bonus = (Save % Points) x (Saves/60) [Must be > 0]","formula","CASE WHEN sv <= 0 OR sv_pct < 0.900 THEN 0 WHEN sv_pct < 0.925 THEN 2 * (sv / 60) WHEN sv_pct < 0.950 THEN 4 * (sv / 60) WHEN sv_pct < 0.975 THEN 6 * (sv / 60) WHEN sv_pct < 1.000 THEN 8 * (sv / 60) ELSE 10 * (sv / 60) END","sv_pct,sv","","Goalie category."
"Save Percentage Bonus 4","Save % Points: .000-.899 = 0pts, .900-1.000 = 0.5pts * ((Save % - 0.900) / 0.01) * (minPlayed / 60) [Must be > 30]","formula","CASE WHEN toi <= 1800 OR sv_pct < 0.900 THEN 0 ELSE 0.5 * ((sv_pct - 0.900) / 0.01) * (toi / 3600) END","sv_pct,toi","","Goalie category; toi is stored in seconds."
"Save Percentage x Time On Ice","Save Percentage x Time On Ice","formula","sv_pct * toi","sv_pct,toi","","Goalie category; toi is stored in seconds."
"Save Points","Saves - (Goals Against x 8)","formula","sv - (8 * ga)","sv,ga","","Goalie category."
"Saves","","direct","sv","sv","","Goalie category."
"Saves + Shootout Saves","","formula","sv + shosv","sv,shosv","","Goalie category."
"Saves - Even Strength","","direct","evsv","evsv","","Goalie category."
"Saves - Power Play","","direct","ppsv","ppsv","","Goalie category."
"Saves - Short-Handed","","direct","pksv","pksv","","Goalie category."
"Saves per 60 Minutes","","formula","sv / (toi / 3600)","sv,toi","","Goalie category; toi is stored in seconds."
"Shifts","","direct","shifts","shifts","",""
"Shooting %","Goals / Shots On Goal","direct","sog_p","sog_p","","sog_p is goals divided by shots on goal."
"Shooting Accuracy","Goals / Shots On Goal","direct","sog_p","sog_p","","Mapped to sog_p by product decision."
"Shootout Attempts","Shootout shots that were at the net (i.e. a goal or saved)","planned_derivation","shog + shootout_attempts_saved","shog,shootout_attempts_saved","","Requires durable skater shootout attempts-saved derivation."
"Shootout Attempts Missed","","planned_derivation","shootout_missed_shots","shootout_missed_shots","","Requires durable skater shootout missed-shots derivation."
"Shootout Attempts Missed or Saved","Shootout shots that missed the net or were saved","planned_derivation","shootout_missed_shots + shootout_attempts_saved","shootout_missed_shots,shootout_attempts_saved","","Requires durable skater shootout missed/saved attempt derivations."
"Shootout Attempts Saved","This only counts shootout attempts saved by the goalie.","direct","shosv","shosv","","Goalie alias for shootout saves."
"Shootout Game-winning Goals","","direct","shogwg","shogwg","",""
"Shootout Goal %","","planned_derivation","shog / (shog + shootout_attempts_saved)","shog,shootout_attempts_saved","","Requires durable skater shootout attempts-saved derivation."
"Shootout Goals","","direct","shog","shog","",""
"Shootout Missed Shots","Shootout shots that missed the net","planned_derivation","shootout_missed_shots","shootout_missed_shots","","Requires durable skater shootout missed-shots derivation."
"Shootout Goals Against","","planned_derivation","shootout_goals_against","shootout_goals_against","","Requires per-goalie shootout goals against derivation."
"Shootout Losses","","direct","shootout_losses","shootout_losses","","Goalie category."
"Shootout Save %","","planned_derivation","shosv / (shosv + shootout_goals_against)","shosv,shootout_goals_against","","Requires per-goalie shootout goals against derivation."
"Shootout Saves","","direct","shosv","shosv","","Goalie category."
"Shootout Wins","","direct","shootout_wins","shootout_wins","","Goalie category."
"Short-Handed Assists","","direct","pka","pka","",""
"Short-Handed Goals","","direct","pkg","pkg","",""
"Short-Handed Goals Against While On Ice","Short-Handed goals scored by the opposing team while the player was on the ice.","planned_derivation","SUM(ga WHERE strength = 'PK')","ga,strength","","Individual on-ice strength summaries store ga by strength."
"Short-Handed Goals For While On Ice","Short-handed goals scored by the team while the player was on the ice short-handed.","planned_derivation","SUM(gf WHERE strength = 'PK')","gf,strength","","Individual on-ice strength summaries store gf by strength."
"Short-Handed Points","","direct","pkp","pkp","",""
"Short-Handed Points 2","(Short-Handed Goals x 2) + Short-Handed Assists","formula","(2 * pkg) + pka","pkg,pka","",""
"Short-Handed Points 3","Short-Handed Time On Ice - (2.8 * Power Play Goals Against While On Ice) + (4 * Short-Handed Points)","planned_derivation","pk_toi - (2.8 * pp_ga_on_ice) + (4 * pkp)","pk_toi,pp_ga_on_ice,pkp","","Requires strength TOI and power-play goals-against while on ice derivations."
"Short-Handed Points 4","Short-Handed Points + Game-winning Goals","formula","pkp + gwg","pkp,gwg","",""
"Short-Handed Points 5","(2 x Short Handed Goal) + Short Handed Assist + (Empty Net Goal x 0.5)","formula","(2 * pkg) + pka + (0.5 * eng)","pkg,pka,eng","",""
"Shots Blocked","A shooter has his shot blocked by an opposing player.","direct","sb","sb","","Distinct from Blocks, which maps to b."
"Shots Missed","A shooter takes a shot and misses the net.","direct","sm","sm","",""
"Shots on Goal","","direct","sog","sog","",""
"Shots on Goal Against","","direct","sa","sa","","Goalie category."
"Shots on Goal Against - Even Strength","","direct","evsa","evsa","","Goalie category."
"Shots on Goal Against - Power Play","","direct","ppsa","ppsa","","Goalie category."
"Shots on Goal Against - Short-Handed","","direct","pksa","pksa","","Goalie category."
"Shots on Goal Per Game","The total shots on goal divided by the number of games played","formula","sog / gp","sog,gp","",""
"Shots on Goal Plus Blocks","Shots On Goal + Blocks","formula","sog + b","sog,b","",""
"Shutouts (Skaters)","A skater is credited for his team's shutout if he dressed for that game, regardless of whether or not he had any ice-time.","ignored_deprecated","","","","Ignored by product decision."
"Shutouts","","direct","so","so","","Goalie category."
"Shutouts + Hat Tricks","Shutouts by Goalies and Hat Tricks","planned_derivation","so + htk","so,htk","","Hat tricks are derivable from game summaries."
"Special Teams Assists","Power Play Assists + Short-Handed Assists","formula","ppa + pka","ppa,pka","",""
"Special Teams Assists 2","Power Play Assists + (2 x Short-Handed Assists)","formula","ppa + (2 * pka)","ppa,pka","",""
"Special Teams Goals","Power Play Goals + Short-Handed Goals","formula","ppg + pkg","ppg,pkg","",""
"Special Teams Goals 2","Power Play Goals + (2 x Short-Handed Goals)","formula","ppg + (2 * pkg)","ppg,pkg","",""
"Special Teams Points","Power Play Points + Short-Handed Points","formula","ppp + pkp","ppp,pkp","",""
"Special Teams Points + Game-winning Goals","Power Play Points + Short-Handed Points + Game-winning Goals","formula","ppp + pkp + gwg","ppp,pkp,gwg","",""
